Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,Year,TeamID,WTeamID,PTS Scored,PTS Allowed,FGM,FGA,FGM3,FGA3,FTM,FTA,OR,DR,AST,TO,STL,BLK,PF
112,harvard,4.73,106.7,101.9,67,-0.07,-2.82,102.9,105.7,-0.82,2017,1217,1217,75.06,64.44,26.19,55.94,8.31,22.19,14.38,18.88,9.69,25.50,15.44,12.63,7.06,4.56,18.63
113,winthrop,4.53,106.1,101.6,71.1,0.029,-7.13,100.7,107.8,1.93,2017,1457,1457,79.38,67.46,26.29,58.08,9.92,25.88,16.88,23.29,10.21,27.96,13.17,12.88,5.92,5.21,18.54
114,chattanooga,4.32,106.6,102.3,65.5,-0.01,-1.12,105.5,106.6,2.21,2017,1151,1151,78.35,65.47,26.65,54.65,7.29,19.82,17.76,24.41,9.76,22.18,12.18,11.71,8.35,5.06,17.71
115,lehigh,4.23,107.5,103.3,69.6,-0.034,-2.53,101.9,104.4,3.52,2017,1250,1250,79.21,66.00,27.79,56.37,8.79,20.68,14.84,18.32,7.32,28.32,14.84,13.37,7.47,3.89,15.37
116,towson,4.22,105.5,101.2,67.9,-0.009,-0.59,105.1,105.7,-1.51,2017,1406,1406,79.42,69.11,27.37,58.21,5.00,14.89,19.68,28.32,13.79,27.74,11.53,13.16,6.84,4.16,19.58
117,iona,4.2,110.8,106.6,70.6,0.013,-1.94,103.7,105.7,-0.05,2017,1233,1233,83.14,70.86,28.77,59.73,10.86,24.32,14.73,18.64,9.05,26.73,17.05,11.82,7.45,2.91,18.50
118,temple,3.93,108.3,104.3,67.1,0.015,3.27,105,101.8,0.71,2017,1396,1396,80.00,70.75,27.38,59.25,9.25,23.38,16.00,20.94,10.13,26.88,15.44,11.81,7.00,5.19,18.13
119,new mexico,3.44,106.5,103.1,68.8,0.024,2.14,105.4,103.2,-1.32,2017,1307,1307,78.65,68.00,25.82,53.06,4.65,12.88,22.35,29.18,9.29,26.35,14.24,13.06,6.94,3.82,18.82
120,old dominion,3.44,100.7,97.2,61.1,-0.013,-2.4,104,106.4,1.5,2017,1330,1330,66.74,56.53,23.79,55.53,5.26,16.21,13.89,20.21,13.05,25.32,14.79,9.63,6.68,5.16,16.58
121,unc greensboro,3.19,107.7,104.5,66.9,0.11,-1.56,104.9,106.4,-1.63,2017,1422,1422,76.05,66.32,27.14,57.41,9.14,22.86,12.64,18.36,11.36,25.45,15.14,13.55,6.68,4.09,17.95
122,buffalo,3.14,105.3,102.2,71.4,-0.053,-0.41,105.3,105.7,2.55,2017,1138,1138,81.60,67.87,28.80,59.60,8.40,22.53,15.60,22.33,11.93,29.20,15.60,14.67,6.47,4.20,21.00
123,george mason,3.14,107.3,104.2,68.8,0.027,0.53,103.5,103,-3.55,2017,1206,1206,79.26,68.11,27.11,58.63,6.16,16.53,18.89,24.32,12.05,30.58,12.47,12.26,5.63,2.63,15.32
124,arkansas st.,2.99,106.3,103.3,67.3,0.022,-1.48,103.6,105,3.26,2017,1117,1117,77.06,65.88,26.71,54.53,7.76,19.18,15.88,24.29,9.82,26.24,14.24,12.41,5.18,2.71,18.24
125,santa clara,2.81,105.5,102.7,62.6,-0.014,0.38,103.5,103.2,-4.47,2017,1365,1365,74.63,61.00,26.06,54.38,11.63,26.88,10.88,14.06,5.56,25.31,17.06,10.38,6.13,2.00,18.69
126,arizona st.,2.81,111.9,109.1,70,0.035,6.49,108.6,102.1,-1.06,2017,1113,1113,89.47,77.07,29.07,60.67,12.07,28.00,19.27,25.33,9.67,26.13,14.73,11.13,6.47,3.47,17.27
127,wyoming,2.78,104.8,102,72.9,-0.004,-1.08,104.1,105.2,-2.1,2017,1461,1461,81.56,73.00,26.94,59.38,10.44,27.19,17.25,23.25,8.19,30.31,15.88,13.63,5.81,5.06,19.81
128,toledo,2.69,108.8,106.1,66.4,-0.081,-0.96,105,106,0.52,2017,1405,1405,81.06,69.00,28.38,56.13,7.50,19.25,16.81,24.19,10.13,28.56,18.19,13.31,4.25,3.44,16.25
129,albany,2.66,107.5,104.9,64.2,-0.038,-5.16,101.8,106.9,-2,2017,1107,1107,78.10,64.30,27.30,56.35,6.20,14.95,17.30,22.50,11.40,25.40,13.75,10.90,5.55,1.65,17.40
130,utah st.,2.42,106.9,104.5,66.6,-0.066,1.99,105.1,103.1,-0.45,2017,1429,1429,81.31,66.69,28.00,55.00,8.54,19.92,16.77,22.92,7.31,30.92,18.08,13.00,5.31,3.38,18.92
131,georgia st.,2.4,103.9,101.5,68.6,0.014,-1.27,104.3,105.6,2.23,2017,1209,1209,76.33,65.07,27.93,55.27,8.00,20.93,12.47,20.00,8.67,25.33,13.00,12.53,7.73,4.40,17.87
132,george washington,2.32,107.7,105.3,65.8,0.067,1.38,104.4,103,-1.71,2017,1203,1203,73.21,65.32,23.74,54.00,8.47,20.37,17.26,23.11,10.63,27.42,14.63,13.26,5.74,4.16,14.58
133,william & mary,2.28,111.9,109.7,70.9,-0.003,0.51,105.8,105.3,1.05,2017,1456,1456,87.27,73.07,29.93,56.60,10.67,24.93,16.73,24.33,8.27,28.53,20.80,11.00,5.07,5.73,18.00
134,missouri st.,2.27,108.3,106,66.2,-0.055,-0.26,103.6,103.9,-6.25,2017,1283,1283,75.19,64.50,25.19,56.31,8.06,21.44,16.75,23.00,12.88,27.50,12.88,13.00,4.94,4.06,17.44
135,rutgers,2.23,101.5,99.3,66.2,0.006,6.7,107.5,100.8,-9.39,2017,1353,1353,72.07,60.64,26.43,58.43,5.07,15.64,14.14,21.21,15.07,29.43,13.14,13.00,5.86,5.50,15.50
136,elon,2.19,104.4,102.2,67.8,-0.021,-0.77,105.4,106.2,-1.75,2017,1189,1189,76.94,66.75,26.13,56.50,9.63,26.38,15.06,20.94,8.31,29.88,14.50,12.50,5.19,2.94,15.81
137,troy,2.04,109.7,107.6,68.1,-0.023,-2.86,102.4,105.3,-6.78,2017,1407,1407,78.74,67.79,26.11,55.58,8.16,21.63,18.37,26.00,9.79,26.79,13.32,11.37,5.84,3.21,17.42
138,northern kentucky,1.91,106.8,104.9,68,0.073,-3.35,102.9,106.3,-2.55,2017,1297,1297,78.59,69.09,26.64,56.00,9.41,23.82,15.91,22.55,10.18,26.55,14.45,12.86,5.55,2.64,16.91
139,uc irvine,1.86,101.8,100,66.5,-0.011,-3.29,102.4,105.7,6.93,2017,1414,1414,73.95,59.68,26.63,56.16,7.68,19.89,13.00,18.16,10.63,30.53,13.47,13.11,4.84,4.63,20.32
140,la salle,1.8,110.6,108.7,68.7,0.028,2.18,105,102.8,1.13,2017,1247,1247,82.73,72.67,27.87,55.40,9.27,22.53,17.73,22.20,8.87,24.93,16.27,12.47,7.00,2.27,17.67
141,kent st.,1.68,104.9,103.3,68.3,0.024,-1.92,104.4,106.3,-5.91,2017,1245,1245,78.90,68.62,27.62,63.10,7.43,21.86,16.24,22.10,14.43,27.00,12.67,11.86,6.10,3.95,19.29
142,wofford,1.54,109.9,108.4,66.7,-0.067,0.9,105.6,104.7,6.75,2017,1459,1459,86.62,74.23,29.77,60.15,10.46,24.23,16.62,20.62,9.38,25.23,18.46,11.08,6.54,1.92,17.77
143,south dakota,1.48,104.2,102.7,70.7,0.066,-2.62,105.4,108.1,-1.86,2017,1377,1377,80.25,71.40,26.80,58.15,7.10,18.65,19.55,27.45,10.25,27.85,12.50,11.80,6.30,3.85,18.70
144,tulsa,1.44,104.3,102.9,68.2,0.055,4.59,105.8,101.2,2.08,2017,1409,1409,75.20,65.47,24.93,54.33,8.00,22.13,17.33,23.60,10.40,27.07,13.13,13.93,5.67,2.67,17.40
145,mercer,1.37,109.6,108.2,61.7,-0.064,0.1,105.4,105.3,3.55,2017,1273,1273,73.85,61.23,25.15,53.38,8.23,21.69,15.31,19.08,11.15,26.85,15.85,11.54,4.77,2.92,15.15
147,utah valley,1.25,101,99.7,73,-0.085,-1.13,102.6,103.8,1.42,2017,1430,1430,82.92,71.00,26.33,55.25,9.75,26.33,20.50,28.17,7.50,32.83,15.25,16.42,6.75,3.75,20.17
148,eastern michigan,1.2,106.1,104.9,68.1,-0.078,0.58,106.6,106,5.08,2017,1185,1185,83.25,66.50,29.08,59.08,6.83,18.25,18.25,25.00,12.17,24.00,15.33,11.75,10.17,4.83,20.83
149,marshall,1.13,110.8,109.7,77.6,0.027,-1.36,103.3,104.7,0.72,2017,1267,1267,90.32,77.89,30.84,63.16,10.47,25.84,18.16,24.47,9.47,29.89,17.16,12.21,6.37,5.21,16.47
150,southern illinois,1.09,104.8,103.7,65.4,0.047,1.18,104.2,103,-2.95,2017,1356,1356,77.13,68.44,27.44,55.06,6.00,15.44,16.25,23.44,9.94,25.06,13.81,11.75,6.63,4.75,18.38
151,yale,1.01,106.2,105.2,68.2,0.055,-2.03,103.6,105.7,-1.36,2017,1463,1463,80.82,69.71,28.29,56.82,7.88,19.88,16.35,22.29,10.06,26.59,16.71,13.12,6.24,4.94,16.24
152,grand canyon,0.97,101.6,100.6,68.9,0.078,-5.95,100.3,106.2,-7.8,2017,1213,1213,75.40,63.70,25.80,58.40,7.20,20.20,16.60,25.20,10.70,28.60,15.20,11.60,7.90,2.70,16.15
153,fort wayne,0.84,108.8,108,71.6,-0.025,-3.36,105.4,108.7,-4.33,2017,1236,1236,91.13,78.31,33.56,65.75,10.94,26.31,13.06,17.88,10.38,28.81,19.50,13.63,8.69,4.69,18.06
154,evansville,0.83,104.1,103.2,66.8,-0.024,1.09,104.7,103.6,-2.4,2017,1191,1191,74.71,63.29,26.07,50.93,3.79,8.71,18.79,26.86,7.86,27.57,14.21,11.07,5.36,2.93,18.64
155,rice,0.73,107.8,107.1,72.7,-0.028,-5.44,101.2,106.7,-6.25,2017,1349,1349,85.95,74.75,28.30,58.70,9.20,23.30,20.15,27.10,9.90,29.30,14.45,14.45,6.55,4.10,19.05
156,missouri,0.64,101.5,100.9,68,-0.16,6.83,108.1,101.3,-5.07,2017,1281,1281,78.88,61.25,26.38,58.25,8.00,22.50,18.13,25.00,11.13,29.13,14.63,12.25,8.25,2.13,18.13
157,jacksonville st.,0.63,105.8,105.2,63.6,0.028,-1.68,104.2,105.9,0.61,2017,1240,1240,71.89,61.56,25.11,52.94,7.50,19.89,14.17,18.94,10.67,27.00,13.67,13.06,4.72,3.56,17.00
158,massachusetts,0.63,100.6,100,71.9,-0.042,0.85,104.9,104.1,-4.53,2017,1269,1269,74.27,64.13,26.07,57.93,7.67,24.93,14.47,21.07,9.00,27.20,17.20,14.07,8.07,5.53,19.80
159,northeastern,0.63,107,106.4,66.1,-0.014,0.9,105.4,104.5,2.41,2017,1318,1318,77.13,68.27,26.47,54.40,9.73,23.87,14.47,21.27,8.33,27.47,15.33,13.47,6.00,3.80,15.73
160,tennessee st.,0.59,100.3,99.7,67,-0.016,-2.29,104.6,106.9,3.55,2017,1398,1398,70.40,60.20,24.53,53.47,5.80,15.93,15.53,21.67,11.60,27.93,12.07,15.93,7.07,4.27,19.87
161,north carolina central,0.36,102.2,101.9,66.7,-0.055,-12.44,97.7,110.1,-0.66,2017,1300,1300,76.14,61.23,26.77,56.50,7.23,20.23,15.36,21.59,10.41,27.73,14.18,11.59,5.95,3.23,16.77
162,western michigan,0.36,107.1,106.8,67.9,-0.016,-0.54,105.4,106,1.99,2017,1444,1444,79.67,67.73,27.47,58.13,6.67,17.07,18.07,24.87,11.40,26.13,13.53,10.93,5.80,4.07,17.20
163,washington,0.34,107.7,107.4,71.1,-0.103,6.87,109.5,102.6,-2.27,2017,1449,1449,90.11,71.56,32.00,63.89,8.33,19.67,17.78,24.78,12.11,28.22,15.89,12.22,7.22,7.44,19.00
164,wright st.,0.34,106.5,106.2,69,0.056,-2.21,103,105.3,0.85,2017,1460,1460,80.33,70.89,25.78,54.61,9.72,22.33,19.06,25.17,9.33,25.50,15.72,14.39,5.67,2.22,18.33
165,lipscomb,0.3,107.3,107,74.2,-0.017,-4.59,103.2,107.8,1.17,2017,1252,1252,88.53,75.71,29.82,57.71,10.76,26.35,18.12,25.06,8.94,26.76,18.82,15.24,6.71,2.88,20.53
166,samford,0.26,107.8,107.5,68.6,-0.036,-2.56,103.9,106.4,-3.56,2017,1359,1359,78.65,67.94,26.41,56.00,7.41,18.82,18.41,25.71,9.65,28.53,16.53,12.24,6.41,2.65,17.06
167,north dakota st.,0.19,104.6,104.4,66.7,0.081,-1.93,105.5,107.5,0.5,2017,1295,1295,81.59,69.59,26.88,55.12,8.35,20.71,19.47,26.53,8.00,28.12,12.88,10.88,6.12,3.59,17.94
168,north dakota,0.04,103.6,103.5,71.5,0.048,-5.66,103,108.6,3.24,2017,1315,1315,83.37,72.21,28.84,59.00,7.58,17.63,18.11,23.47,9.11,27.00,14.47,13.26,8.11,3.21,21.37
169,northern iowa,0.01,97.6,97.6,63.5,0.054,4.51,107.2,102.7,7.99,2017,1320,1320,68.69,59.62,22.54,50.00,8.15,22.31,15.46,20.31,5.46,26.15,10.54,11.62,7.31,3.23,14.77
170,siena,-0.16,106.2,106.3,68.7,-0.009,-1.16,104.6,105.7,5.47,2017,1373,1373,78.29,68.65,27.12,57.29,6.12,16.59,17.94,24.24,12.29,27.47,14.82,14.29,5.41,4.47,18.24
171,penn,-0.2,102.6,102.8,66.7,-0.054,-1.68,103.5,105.2,0.2,2017,1335,1335,75.54,62.69,28.00,57.69,9.54,25.31,10.00,15.92,9.62,27.92,17.08,12.77,7.38,4.08,17.46
172,lsu,-0.25,109.7,109.9,71.9,0.008,9.25,108.7,99.5,2.91,2017,1261,1261,81.00,69.50,30.80,62.30,6.50,17.30,12.90,19.30,12.00,27.80,13.90,13.30,6.90,5.20,19.50
173,boston college,-0.27,103.9,104.2,71.1,-0.032,8.18,110.4,102.2,-6.42,2017,1130,1130,80.67,70.22,28.67,58.11,8.33,19.22,15.00,22.33,9.67,28.89,18.22,15.44,5.78,3.33,18.89
174,texas st.,-0.36,101.3,101.7,62.3,0.016,-4.36,102.3,106.6,-7.98,2017,1402,1402,69.61,59.89,24.44,52.00,6.22,15.50,14.50,21.33,9.44,24.94,15.44,11.44,6.39,4.89,16.83
175,loyola marymount,-0.4,103,103.4,67.2,0.025,-0.07,104.8,104.9,-5.03,2017,1258,1258,72.57,64.36,25.86,56.14,7.64,20.79,13.21,19.93,11.36,24.21,14.71,13.00,7.43,4.86,18.86
176,nebraska omaha,-0.4,108.6,109,73.8,0.086,-0.59,106.2,106.8,4.11,2017,1303,1303,88.47,79.47,29.29,63.06,10.12,24.94,19.76,26.18,11.82,27.12,15.06,13.53,8.53,3.24,19.65
177,texas a&m corpus chris,-0.49,102.8,103.3,68.8,0.062,-6,101.8,107.8,2.4,2017,1394,1394,79.82,69.29,27.59,56.94,5.71,15.53,18.94,25.71,10.29,24.82,14.47,11.65,9.18,3.88,19.71
178,new orleans,-0.52,101.3,101.8,66.2,0.046,-5.29,102.3,107.6,8.32,2017,1309,1309,74.29,62.94,25.71,53.29,4.35,13.41,18.53,25.71,11.94,24.35,15.24,15.88,7.76,2.94,16.47
179,weber st.,-0.54,108.5,109,67,-0.03,-4.67,103.2,107.9,1.43,2017,1451,1451,84.12,72.82,27.88,53.76,10.35,22.47,18.00,24.06,6.24,26.06,13.59,10.82,4.53,3.53,17.71
180,ball st.,-0.62,104.7,105.3,71.1,0.041,-3.92,103.2,107.1,-10.95,2017,1123,1123,83.40,73.45,28.30,59.25,10.00,25.00,16.80,23.10,9.75,29.55,16.60,13.90,6.35,3.70,19.45
181,gardner webb,-0.76,102.7,103.5,70.8,-0.041,-5.65,101.5,107.1,4.28,2017,1205,1205,81.25,67.81,29.00,57.69,6.94,16.81,16.31,26.13,11.19,25.69,15.13,12.44,9.88,3.31,20.00
182,new hampshire,-0.8,102.3,103.2,65.4,0.063,-4.58,102.6,107.1,-0.5,2017,1306,1306,74.59,63.59,25.59,55.82,8.76,23.29,14.65,20.24,9.35,29.24,13.65,10.76,4.12,1.82,14.94
183,depaul,-1.05,103.5,104.5,67.7,-0.069,6.99,108.8,101.8,-7.12,2017,1177,1177,77.89,66.67,27.44,53.33,6.00,15.33,17.00,22.00,9.78,25.22,14.67,14.67,6.33,3.00,18.56
184,saint joseph's,-1.05,102.2,103.3,68.4,-0.032,3.35,106,102.7,3.33,2017,1386,1386,75.00,65.55,26.18,57.64,5.55,17.27,17.09,26.09,10.09,28.09,11.82,10.91,5.73,3.64,17.64
185,south dakota st.,-1.19,110.2,111.4,67.2,0.029,-0.59,104.9,105.5,1.66,2017,1355,1355,82.56,72.38,27.19,54.31,9.06,23.94,19.13,24.00,8.94,27.31,13.69,12.81,5.25,2.31,16.25
186,eastern washington,-1.25,109.6,110.8,66.7,0.082,-5.14,103,108.2,2.16,2017,1186,1186,85.50,74.95,29.10,57.80,8.55,21.50,18.75,24.15,9.00,28.05,13.30,12.15,5.05,5.40,19.45
187,canisius,-1.27,108.7,109.9,69.6,0.005,-2.77,103,105.8,-1.07,2017,1145,1145,84.61,76.28,29.11,60.39,10.22,23.78,16.17,21.50,10.44,23.83,19.00,13.44,7.00,1.89,19.44
188,hofstra,-1.35,111.1,112.4,67.7,-0.034,-1.44,104.1,105.6,-2.82,2017,1220,1220,79.71,70.71,26.50,59.00,10.36,26.00,16.36,23.50,11.86,27.57,13.36,10.07,5.00,2.14,16.14
189,denver,-1.41,107.7,109.2,66.8,-0.007,-3.65,103.9,107.5,-4.94,2017,1176,1176,76.25,65.38,26.88,54.94,7.38,17.75,15.13,20.31,8.63,28.31,16.13,12.31,5.25,2.19,18.38
190,green bay,-1.45,102,103.4,74,0.032,-2.88,103.9,106.8,-0.33,2017,1453,1453,83.56,73.44,29.06,63.44,6.00,16.94,19.44,27.50,11.88,30.44,14.44,12.94,8.25,4.69,19.56
191,east carolina,-1.49,97,98.5,66.9,0.013,0.53,105,104.5,-10.91,2017,1187,1187,71.60,59.40,24.40,55.07,7.47,19.87,15.33,23.67,12.27,30.73,14.07,14.47,6.07,6.27,16.80
192,boston university,-1.68,101.7,103.4,69.6,0.003,-4.1,101.8,105.9,-0.77,2017,1131,1131,75.88,65.76,25.94,54.41,9.65,23.88,14.35,20.29,8.41,26.24,13.88,13.94,8.12,3.12,18.18
193,washington st.,-1.73,104.4,106.1,67.7,0.067,6.36,109.2,102.9,-3.03,2017,1450,1450,78.67,69.67,28.17,55.42,7.33,18.50,15.00,19.42,6.33,30.17,16.17,11.83,4.33,3.58,16.00
194,montana,-2.06,106.1,108.2,66.7,-0.05,-4.94,103.5,108.4,0.79,2017,1285,1285,77.13,66.06,26.63,56.81,8.13,21.38,15.75,20.44,9.63,25.56,13.88,11.06,6.56,3.06,19.94
195,georgia southern,-2.08,105.2,107.3,68.5,0.049,-1.26,104.6,105.9,1.82,2017,1204,1204,79.29,70.07,26.50,56.64,10.00,24.64,16.29,24.71,9.64,26.50,11.00,11.64,6.57,2.93,18.71
196,uab,-2.52,103.9,106.4,66.1,-0.008,-2.45,103.6,106,0.08,2017,1412,1412,79.00,65.00,28.38,56.50,6.69,17.69,15.56,20.50,10.00,29.69,17.75,14.25,6.06,6.56,16.31
197,murray st.,-2.61,107.2,109.8,68.7,-0.087,-4.05,103.6,107.6,0.01,2017,1293,1293,84.79,71.64,28.64,60.71,9.14,21.21,18.36,23.79,11.50,26.07,14.00,11.07,6.07,2.00,19.57
198,iupui,-2.76,107,109.8,69.3,-0.036,-0.64,105.7,106.3,3.64,2017,1237,1237,84.67,73.17,29.75,59.42,10.33,23.25,14.83,21.17,11.17,23.42,15.92,11.58,8.75,2.33,19.92
199,indiana st.,-2.78,99.6,102.3,69.7,-0.009,2.47,105.2,102.7,1.71,2017,1232,1232,74.00,67.10,25.90,56.40,9.10,23.50,13.10,19.80,7.90,30.20,15.80,15.00,7.10,4.80,19.60
200,utep,-2.93,99.7,102.7,66.3,-0.035,-3.51,102.9,106.4,-2.74,2017,1431,1431,75.36,65.21,27.07,53.36,5.79,14.86,15.43,22.43,6.71,30.36,14.50,12.14,5.36,3.14,18.50
201,umbc,-2.97,107.9,110.9,71,0.029,-6.24,101.3,107.5,-3.41,2017,1420,1420,87.50,76.94,29.75,61.31,10.13,23.31,17.88,23.31,9.88,27.94,16.50,10.88,7.00,2.75,17.19
202,fordham,-3.05,97,100,64.3,-0.023,0.87,104.8,103.9,-3.14,2017,1200,1200,69.58,57.83,23.67,54.08,8.08,24.33,14.17,18.58,9.17,24.75,13.25,14.58,10.17,3.75,19.50
203,morehead st.,-3.06,106.7,109.8,68.7,-0.005,-1,105.2,106.2,4.42,2017,1287,1287,84.67,75.08,30.33,60.42,7.67,17.92,16.33,21.83,12.58,26.08,17.83,14.58,6.25,3.42,21.25
204,fairfield,-3.3,99.8,103.1,69.2,0.038,-2.85,103.8,106.7,-2.55,2017,1193,1193,77.88,66.88,28.13,59.00,9.19,24.19,12.44,18.50,8.25,29.56,16.75,12.81,5.50,3.44,18.69
205,northern illinois,-3.47,98.9,102.4,66.8,-0.038,-2.5,104.1,106.6,-5.54,2017,1296,1296,74.17,64.92,25.33,58.00,4.92,15.33,18.58,26.25,13.08,26.67,10.75,14.50,8.17,2.58,20.42
206,navy,-3.47,99.9,103.4,64.2,-0.012,-4.19,101.5,105.7,-3.3,2017,1298,1298,71.60,60.27,24.67,52.33,7.47,20.33,14.80,22.73,12.53,24.20,15.40,13.67,7.47,2.33,17.60
207,coastal carolina,-3.56,101.8,105.4,68.8,0.05,-1.39,103.8,105.2,1.16,2017,1157,1157,76.57,67.36,26.71,58.57,8.79,23.64,14.36,20.71,11.50,30.14,12.50,12.29,4.43,2.71,18.57
208,rider,-3.7,100.9,104.6,72.2,0.047,-4.42,102.6,107,-6.04,2017,1351,1351,82.39,74.00,29.22,60.00,6.17,16.67,17.78,25.17,11.61,28.56,15.67,14.56,7.28,3.89,19.17
209,mount st. mary's,-3.86,99.5,103.4,66.8,0.074,-4.49,102,106.5,11.52,2017,1291,1291,73.00,64.00,26.05,53.63,7.32,19.42,13.58,19.89,7.79,23.47,11.84,13.26,6.68,3.89,16.74
210,tennessee martin,-3.92,106.7,110.6,67.5,0.118,-4.47,102.9,107.3,-2.34,2017,1404,1404,79.68,70.42,28.32,58.32,7.68,22.63,15.37,21.47,13.11,26.74,17.68,15.32,6.42,3.58,17.68
211,liberty,-3.93,99.9,103.8,62.7,0.037,-6.25,102.1,108.4,2.89,2017,1251,1251,71.75,60.06,23.44,50.81,10.44,26.44,14.44,18.56,5.00,23.00,14.63,9.44,6.94,1.63,18.50
212,texas southern,-4.04,103.5,107.5,68.6,0.125,-8.49,100.2,108.7,12.68,2017,1411,1411,76.48,63.65,25.13,55.78,5.30,17.13,20.91,27.35,10.61,25.83,12.30,11.43,8.13,3.83,16.65
213,stony brook,-4.1,101.8,105.9,65.9,0.05,-5.85,101.9,107.8,-3.28,2017,1392,1392,74.11,65.28,24.72,57.17,8.83,23.50,15.83,21.28,10.61,24.83,13.44,9.94,6.11,3.28,18.67
214,san jose st.,-4.1,100.4,104.5,70.8,0.077,1.21,105.4,104.2,-4.42,2017,1363,1363,76.42,69.42,26.00,55.33,6.58,18.17,17.83,23.83,8.83,25.33,14.25,13.17,6.42,5.92,18.83
215,holy cross,-4.23,98.7,102.9,60.4,0.022,-3,102.1,105.1,0.22,2017,1221,1221,66.13,56.53,22.40,46.27,8.07,20.73,13.27,18.87,5.47,21.40,15.13,10.80,10.13,2.47,15.13
216,idaho,-4.23,101.8,106,66.5,0.031,-5.98,102.5,108.5,-1.34,2017,1225,1225,79.38,70.56,26.06,56.06,8.44,20.69,18.81,24.88,9.88,28.00,14.63,12.25,4.31,3.13,20.44
217,bradley,-4.29,98.4,102.7,67.7,0.018,2.4,105.9,103.5,0.41,2017,1133,1133,76.58,65.83,25.00,51.50,7.25,17.92,19.33,26.17,9.50,30.42,13.58,14.92,5.58,4.83,20.67
218,uc davis,-4.41,97.8,102.2,68.9,0.131,-5.31,100.8,106.1,-0.94,2017,1413,1413,72.65,64.25,25.10,55.05,6.25,16.50,16.20,23.90,10.15,26.30,13.30,13.95,5.70,3.75,18.00
219,umkc,-4.42,103,107.4,70.7,0.065,-1.63,103.5,105.1,0.61,2017,1282,1282,82.57,72.79,26.79,57.00,9.79,23.29,19.21,26.57,9.36,27.21,14.36,14.14,7.29,3.21,21.00
220,eastern illinois,-4.83,100.1,105,68.6,-0.049,-4.96,102.7,107.7,-3.33,2017,1183,1183,75.92,65.42,25.08,59.33,9.92,23.25,15.83,21.25,11.17,26.50,15.92,13.17,7.58,4.17,18.50
221,houston baptist,-5.08,105.2,110.2,70.3,0.052,-3.5,102.7,106.2,13.67,2017,1223,1223,80.62,70.54,27.31,58.46,5.92,16.31,20.08,27.31,13.85,26.85,14.46,13.31,6.15,2.92,16.77
222,air force,-5.22,104.3,109.5,67.1,-0.065,0.29,104.4,104.1,-6.1,2017,1102,1102,80.10,66.70,26.00,54.80,9.20,20.20,18.90,25.40,9.80,28.70,17.10,11.90,4.10,2.00,16.90
223,james madison,-5.31,98.8,104.1,64,-0.065,-0.84,105.9,106.7,-2.9,2017,1241,1241,72.56,64.22,25.22,52.00,6.56,17.11,15.56,22.44,9.11,27.89,12.22,13.00,6.33,3.00,17.44
224,duquesne,-5.32,101.9,107.3,70,-0.075,-1.27,103.1,104.3,-8.24,2017,1182,1182,75.40,65.10,25.90,57.50,7.90,22.00,15.70,23.30,10.20,30.90,14.60,12.90,5.30,5.20,17.90
225,long beach st.,-5.48,104.6,110.1,69.5,0.036,-1.65,103,104.6,12.57,2017,1253,1253,75.23,67.15,26.38,56.92,6.62,17.23,15.85,21.85,10.77,26.08,13.08,12.77,5.23,2.92,17.92
226,lamar,-5.58,103.1,108.7,68.1,-0.014,-7.05,100.2,107.2,-3.82,2017,1249,1249,81.60,68.73,28.07,58.67,8.87,21.47,16.60,24.33,11.93,26.07,15.13,12.87,7.53,3.53,21.07
227,loyola md,-5.82,98.4,104.2,66.2,0.067,-3.12,102.1,105.2,0.14,2017,1259,1259,73.14,67.43,24.71,53.29,5.86,14.93,17.86,24.64,11.14,23.64,12.64,14.86,7.79,3.79,19.64
228,southeast missouri st.,-5.87,103.4,109.3,68.6,-0.038,-4.43,103.2,107.6,-2.94,2017,1369,1369,80.62,68.92,27.31,54.62,8.62,20.69,17.38,22.62,8.23,24.62,16.46,13.46,7.62,2.38,19.08
229,central michigan,-6.01,111.6,117.6,75.3,0.053,-2.21,103.2,105.4,-5.47,2017,1141,1141,93.29,83.79,30.43,66.50,13.86,35.07,18.57,23.07,10.50,28.21,12.43,10.57,4.71,2.71,17.79
230,army,-6.04,98.6,104.7,71.4,-0.063,-4.56,101.4,106,-3.96,2017,1119,1119,73.33,63.50,26.83,54.92,9.50,24.25,10.17,14.42,8.17,30.50,17.08,15.42,5.17,2.50,17.08
231,southeastern louisiana,-6.06,97.8,103.9,67.1,-0.054,-7.56,101,108.6,-3.61,2017,1368,1368,76.79,62.43,27.07,55.93,7.36,19.07,15.29,22.29,12.64,26.93,16.07,15.07,7.21,3.79,17.14
232,western kentucky,-6.15,103,109.1,65.8,0.048,-3.19,103,106.2,-3.64,2017,1443,1443,75.33,65.33,25.93,54.20,7.27,18.53,16.20,23.13,9.27,27.60,13.20,11.80,4.67,3.20,14.53
233,stephen f. austin,-6.19,96.7,102.9,66.3,0.04,-5.65,102.1,107.7,1.84,2017,1372,1372,72.27,62.73,25.00,53.80,6.40,17.73,15.87,22.73,11.73,24.47,13.20,16.73,6.80,3.33,20.07
234,sam houston st.,-6.19,97.2,103.4,70,0.101,-6.44,101.4,107.8,2.7,2017,1358,1358,75.59,67.47,26.29,58.18,6.53,18.71,16.47,23.82,11.82,26.24,15.18,13.53,6.88,3.24,21.47
