,Rk,TeamName_Clean,AdjEM,AdjO,AdjD,AdjT,Luck,SOS_AdjEM,SOS_OppO,SOS_OppD,NCSOS_AdjEM,TeamID
287,288,florida gulf coast,-11.18,93.1,104.3,70.9,0.072,-6.79,98.6,105.4,-5.09,1195
288,289,coppin st.,-11.21,91.1,102.3,77,0.073,-2.42,101.4,103.8,7.32,1164
289,290,ut rio grande valley,-11.29,91.5,102.8,69.9,-0.05,-4.32,99.4,103.7,-1.49,1410
290,291,fiu,-11.33,97.4,108.7,70.6,-0.09,-0.13,101.9,102,-7.8,1198
291,292,western illinois,-11.8,97.7,109.5,71.7,-0.01,-1.3,103.6,104.9,-0.04,1442
292,293,njit,-11.83,94.2,106,68.4,0.024,-4.31,98.7,103,-0.72,1312
293,294,fairleigh dickinson,-11.89,100.9,112.8,70.9,0.017,-5.82,98.9,104.7,3.92,1192
294,295,new mexico,-11.92,91.4,103.4,68,-0.039,3.26,104.4,101.2,-4.44,1307
295,296,st. francis ny,-11.95,101,113,72.8,0.03,-8.41,97.1,105.5,-6.74,1383
296,297,holy cross,-11.96,97.4,109.3,69.4,-0.047,-2.12,102.1,104.2,-99,1221
297,298,towson,-11.97,99.1,111.1,66,-0.022,-0.39,102.3,102.7,8.72,1406
298,299,louisiana monroe,-11.99,93.3,105.3,67.4,-0.04,-3.74,99.5,103.2,-2.72,1419
299,300,robert morris,-11.99,98.2,110.2,67.5,-0.053,-0.33,104.8,105.1,8.8,1352
300,301,william & mary,-12.03,94.9,107,68.3,0.106,-0.63,103,103.7,0.6,1456
301,302,middle tennessee,-12.12,91.4,103.5,69.5,-0.035,2.9,102.6,99.7,0.83,1292
302,303,jacksonville,-12.15,93.3,105.4,67.8,0.05,-5.09,100.1,105.2,-4.94,1239
303,304,fordham,-12.3,86.5,98.8,64,0.018,6.77,105.9,99.2,-99,1200
304,305,troy,-12.32,92.3,104.6,68.5,0.036,-0.75,101.2,102,3.45,1407
305,306,north florida,-12.52,101.5,114.1,66.7,0.036,-2.27,100.6,102.8,4.41,1316
306,307,lamar,-12.75,92.9,105.7,67.7,0.009,-4.44,99.2,103.6,2.62,1249
307,308,st. francis pa,-12.76,94.8,107.6,68.8,-0.066,-5.25,100,105.2,13.18,1384
308,309,fairfield,-12.81,94.8,107.6,64.5,0.005,-5.47,96.8,102.2,-0.52,1193
309,310,nebraska omaha,-12.82,94.2,107,70.9,-0.017,1.71,104,102.2,10.04,1303
310,311,southern,-12.93,91.3,104.2,70.8,-0.075,-12.93,93.1,106,17.75,1380
311,312,eastern illinois,-12.93,95.6,108.5,69.1,-0.004,-3.67,100.8,104.4,2.85,1183
312,313,tennessee tech,-13.61,96.1,109.7,69,-0.055,0.15,102.3,102.1,10.95,1399
313,314,howard,-13.75,98.2,112,69.9,0.102,-1.43,103.3,104.7,-1.43,1224
314,315,rider,-14.06,99.4,113.5,67.8,-0.041,-4.25,97.2,101.5,10.8,1351
315,316,manhattan,-14.08,89.5,103.5,67.3,-0.006,-7.44,96.4,103.8,-19.37,1264
316,317,northwestern st.,-14.31,96.6,110.9,71.1,0.077,-3.79,100.7,104.5,14.9,1322
317,318,tennessee st.,-14.39,90.2,104.6,71.4,-0.103,-3.65,100.6,104.2,-2.57,1398
318,319,usc upstate,-14.4,94.8,109.2,68.5,-0.032,-2.3,100.5,102.8,7.79,1367
319,320,grambling st.,-14.54,91.8,106.4,70,0.036,-10.94,93.6,104.5,7.5,1212
320,321,siu edwardsville,-14.56,92.6,107.2,68.5,0.008,-2.51,101.2,103.7,3.42,1188
321,322,sacred heart,-14.75,98.4,113.1,66.5,0.13,-7.04,98.1,105.2,23.1,1357
322,323,binghamton,-15.05,97.2,112.2,66.1,-0.095,-4.08,98.3,102.3,-8.2,1127
323,324,presbyterian,-15.13,90.7,105.8,66,-0.057,-6.56,98.9,105.5,-10.75,1342
324,325,hampton,-15.32,95,110.3,70.6,0.118,-7.28,98.5,105.8,-3.19,1214
325,326,northern arizona,-15.38,97.8,113.2,64.2,0.038,0.35,102.5,102.2,11.71,1319
326,327,portland,-15.9,96.3,112.2,71.3,0.054,7.61,105.9,98.3,1.16,1339
327,328,north carolina central,-15.95,93.3,109.3,66.2,0.033,-6.22,96.3,102.5,13.24,1300
328,329,dixie st.,-16.36,90.9,107.2,73.3,0.07,-3.34,100.6,104,-3.29,1469
329,330,central arkansas,-16.38,97.3,113.7,71,-0.018,1.47,102.6,101.1,20.17,1146
330,331,air force,-16.66,94.2,110.9,63.1,0.028,3.94,104.3,100.4,-3.13,1102
331,332,san jose st.,-16.88,95.4,112.2,72,0.006,5.58,103.7,98.2,1.57,1363
332,333,cal poly,-16.92,89.4,106.3,67,0.015,1.4,102.2,100.8,-1.13,1142
333,334,lehigh,-16.96,91.7,108.7,70.2,0.063,-5.63,100.9,106.6,-99,1250
334,335,northern illinois,-17.4,93.4,110.8,65.6,-0.003,3.28,105.4,102.1,-5.08,1296
335,336,kennesaw st.,-17.91,87.4,105.3,69.6,-0.088,-2.18,102.6,104.7,8.96,1244
336,337,southeastern louisiana,-17.98,92.8,110.7,68.8,0.043,-5.5,100,105.5,4.98,1368
337,338,charleston southern,-18.12,89.9,108,69.8,-0.049,-3.22,100.8,104,1.84,1149
338,339,mcneese st.,-18.77,95.7,114.4,68.7,-0.09,-9.53,97.3,106.9,6.75,1270
339,340,houston baptist,-18.88,92.3,111.2,72.8,-0.003,-3.25,100.4,103.7,11.13,1223
340,341,central connecticut,-18.91,92.7,111.6,70.6,0.003,-6.01,99,105,8.28,1148
341,342,denver,-18.99,93.7,112.7,71.1,-0.105,-3.8,101,104.8,-6.26,1176
342,343,incarnate word,-19.04,93.4,112.4,64.9,-0.049,-7.31,98.1,105.4,7.34,1230
343,344,alcorn st.,-19.3,90.8,110.1,69.6,-0.026,-8.63,95.8,104.4,21.67,1108
344,345,texas a&m corpus chris,-19.44,89.2,108.6,69.8,-0.093,-3.87,99,102.8,3.35,1394
345,346,maine,-19.72,85.9,105.6,64.7,0.028,-0.78,100.7,101.5,6.93,1263
346,347,tennessee martin,-20.78,92.3,113,67.6,0.122,-2.69,101,103.7,-1.14,1404
347,348,alabama a&m,-21.14,84.6,105.7,67.8,0.018,-12.29,93.3,105.6,-5.53,1105
348,349,bethune cookman,-22.26,90.2,112.4,72.5,0,-99,0,200,-99,1126
349,350,arkansas pine bluff,-23.59,91,114.6,67.2,-0.086,-3.74,97.3,101,15.92,1115
350,351,delaware st.,-24.08,91,115,73.5,-0.064,-3.43,98.9,102.4,2.45,1175
351,352,idaho,-24.26,89.9,114.1,67,-0.021,-1.11,102,103.1,12.62,1225
352,353,south carolina st.,-25.02,87.1,112.1,71.9,-0.109,-4.54,98.2,102.7,2.12,1354
353,354,alabama st.,-26.12,84.2,110.3,71,-0.049,-14.86,91.2,106.1,-99,1106
354,355,maryland eastern shore,-27.33,83.9,111.3,68,0,-99,0,200,-99,1271
355,356,chicago st.,-29.52,88.3,117.8,67.7,-0.006,9.28,106.8,97.6,9.28,1152
356,357,mississippi valley st.,-41.51,79.2,120.7,71.3,0.04,-4.45,97.2,101.6,15.87,1290
